Date,Exposure,Exposure MoM Trend
26/03/2016,"4,132,555.70",14.07%
27/03/2016,"3,504,407.23",-9.85%
28/03/2016,"3,518,424.86",-4.93%
29/03/2016,"3,880,822.62",-9.05%
30/03/2016,"3,830,371.93",-19.78%
31/03/2016,"3,458,825.85",-22.44%
1/4/2016,"3,434,614.07",-7.65%
2/4/2016,"3,774,640.86",13.52%
3/4/2016,"3,340,557.16",-9.73%
4/4/2016,"3,173,529.31",-7.39%
5/4/2016,"2,751,449.91",-16.01%
6/4/2016,"3,065,115.20",-11.74%
7/4/2016,"2,648,259.53",-32.51%
8/4/2016,"2,656,204.31",-34.09%
9/4/2016,"2,722,609.42",-23.32%
10/4/2016,"2,662,712.01",-21.39%
11/4/2016,"2,633,422.18",-10.02%
12/4/2016,"2,288,443.87",-23.03%
13/04/2016,"2,656,883.34",-13.91%
14/04/2016,"2,300,860.97",-24.01%
15/04/2016,"2,289,356.66",-33.61%
16/04/2016,"2,616,734.67",-29.22%
17/04/2016,"2,867,941.19",-28.96%
18/04/2016,"2,692,996.78",-34.02%
19/04/2016,"2,849,190.59",-39.97%
20/04/2016,"3,250,926.47",-39.23%
21/04/2016,"2,812,051.40",-39.02%
22/04/2016,"2,471,793.18",-49.19%
23/04/2016,"2,891,998.02",-32.90%
24/04/2016,"2,585,446.23",-45.32%
25/04/2016,"2,637,155.15",-36.19%
26/04/2016,"2,283,776.36",-34.83%
27/04/2016,"2,343,154.55",-33.40%
28/04/2016,"2,404,076.56",-38.05%
29/04/2016,"2,755,071.74",-28.07%
30/04/2016,"2,821,193.47",-18.43%
1/5/2016,"2,646,279.47",-22.95%
2/5/2016,"2,564,244.81",-32.07%
3/5/2016,"2,166,786.86",-35.14%
4/5/2016,"1,965,275.68",-38.07%
5/5/2016,"1,794,296.70",-34.79%
6/5/2016,"2,067,029.80",-32.56%
7/5/2016,"1,938,873.95",-26.79%
8/5/2016,"1,898,157.60",-28.54%
9/5/2016,"1,979,778.37",-27.28%
10/5/2016,"2,047,090.84",-23.12%
11/5/2016,"2,395,096.28",-9.05%
12/5/2016,"2,138,820.98",-6.54%
13/05/2016,"2,320,620.76",-12.66%
14/05/2016,"2,134,971.10",-7.21%
15/05/2016,"2,378,357.81",3.89%
16/05/2016,"2,073,928.01",-20.74%
17/05/2016,"2,173,476.55",-24.21%
18/05/2016,"2,084,364.01",-22.60%
19/05/2016,"2,019,748.73",-29.11%
20/05/2016,"2,306,553.05",-29.05%
21/05/2016,"1,955,956.98",-30.44%
22/05/2016,"2,216,099.26",-10.34%
23/05/2016,"2,025,514.73",-29.96%
24/05/2016,"1,800,682.59",-30.35%
25/05/2016,"2,005,960.41",-23.93%
26/05/2016,"1,689,018.66",-26.04%
27/05/2016,"1,942,371.46",-17.10%
28/05/2016,"1,886,042.69",-21.55%
29/05/2016,"1,733,273.23",-37.09%
30/05/2016,"1,733,273.23",-38.56%
31/05/2016,"1,637,943.20",-38.10%
